Date,Month,Day,Year,BaySegment,Transect#,Crew,CountTech,SeagrassEdge,Secchi,Sonde,Weather
10/20,10,20,2025,OTB,20,Amen,"KM, MG",350,200,N,"sunny, 18km wind, clear, nice day"
10/20,10,20,2025,OTB,20,Guppies,MG,350,200,N,"sunny, clear skies, 80-90F"
10/20,10,20,2025,OTB,20,Jay's B,JF,350,200,N,"sunny, clear"
10/20,10,20,2025,OTB,20,J's A,"PR, JM",350,200,N,"sunny, clear, temperate"
10/21,10,21,2025,OTB,21,BullSharks,HS,350,190,N,Nice
10/21,10,21,2025,OTB,21,ManateeCAJ,CAJ,350,190,N,"Sunny, calm"
10/21,10,21,2025,OTB,21,ManateeNB,NB,350,190,N,"Sunny, Calm, Clear"
10/21,10,21,2025,OTB,21,MinnowsEC,EC,350,190,N,Sunny
10/22,10,22,2025,OTB,22,ManateeLN,LN,350,240,N,"Windy, sunny, few clouds, 80"
10/22,10,22,2025,OTB,22,ManateeTC,TC,350,240,N,"Windy, light breezy"
10/22,10,22,2025,OTB,22,SharkSS,SS,350,240,N,"Windy, sunny"
10/22,10,22,2025,OTB,22,SharkWB,WB,350,240,N,"Windy, 80, sunny"
10/23,10,23,2025,OTB,23,BlackPantherManatee,TB,350,180,N,"Sunny, choppy"
10/23,10,23,2025,OTB,23,Manatee,"CS, CB",350,180,N,"Sunny, light breeze & chop"
10/23,10,23,2025,OTB,23,SpicyScallop,LR,350,180,N,Sunny
10/23,10,23,2025,OTB,23,ZebraSharks,"AD, KZ, LHC",350,180,N,"Windy, sunny, slightly choppy"
10/24,10,24,2025,OTB,24,RedStingrays,AM,350,170,N,"Sunny, wavy"
10/24,10,24,2025,OTB,24,SharksJM,JM,350,170,N,"Sunny, windy"
10/24,10,24,2025,OTB,24,SharksMK,MK,350,170,N,"Sunny, windy"
10/24,10,24,2025,OTB,24,StingraysOB,OB,350,170,N,"Sunny, windy, cool"
